date,market,pax,a,b,is_imputed,is_covid,pax_a_to_b,pax_b_to_a
2015-07-01,CHENNAI – PUNE,62491.0,CHENNAI,PUNE,False,False,30981.0,31510.0
2015-07-01,MUMBAI – NAGPUR,52715.0,MUMBAI,NAGPUR,False,False,25985.0,26730.0
2015-07-01,INDORE – MUMBAI,50704.0,INDORE,MUMBAI,False,False,25530.0,25174.0
2015-07-01,DELHI – NAGPUR,22975.0,DELHI,NAGPUR,False,False,11753.0,11222.0
2015-07-01,BENGALURU – GUWAHATI,10949.0,BENGALURU,GUWAHATI,False,False,5309.0,5640.0
2015-07-01,HYDERABAD – KOCHI,15366.0,HYDERABAD,KOCHI,False,False,7874.0,7492.0
2015-07-01,BENGALURU – JAIPUR,40092.0,BENGALURU,JAIPUR,False,False,20774.0,19318.0
2015-07-01,HYDERABAD – PUNE,20778.0,HYDERABAD,PUNE,False,False,10385.0,10393.0
2015-07-01,BENGALURU – THIRUVANANTHAPURAM,30306.0,BENGALURU,THIRUVANANTHAPURAM,False,False,15308.0,14998.0
2015-07-01,DELHI – UDAIPUR,17393.0,DELHI,UDAIPUR,False,False,8970.0,8423.0
2015-07-01,DELHI – JAMMU,52588.0,DELHI,JAMMU,False,False,29707.0,22881.0
2015-07-01,CHENNAI – KOCHI,33895.0,CHENNAI,KOCHI,False,False,17384.0,16511.0
2015-07-01,HYDERABAD – TIRUPATI,26047.0,HYDERABAD,TIRUPATI,False,False,13125.0,12922.0
2015-08-01,DELHI – MUMBAI,472005.0,DELHI,MUMBAI,False,False,236913.0,235092.0
2015-08-01,BENGALURU – DELHI,278022.0,BENGALURU,DELHI,False,False,139728.0,138294.0
2015-08-01,BENGALURU – MUMBAI,270434.0,BENGALURU,MUMBAI,False,False,139388.0,131046.0
2015-08-01,DELHI – HYDERABAD,171440.0,DELHI,HYDERABAD,False,False,79969.0,91471.0
2015-08-01,DELHI – KOLKATA,147849.0,DELHI,KOLKATA,False,False,74669.0,73180.0
2015-08-01,DELHI – PUNE,143210.0,DELHI,PUNE,False,False,71363.0,71847.0
2015-08-01,AHMEDABAD – DELHI,93741.0,AHMEDABAD,DELHI,False,False,47109.0,46632.0
2015-08-01,CHENNAI – MUMBAI,175651.0,CHENNAI,MUMBAI,False,False,89985.0,85666.0
2015-08-01,KOLKATA – MUMBAI,125163.0,KOLKATA,MUMBAI,False,False,63001.0,62162.0
2015-08-01,HYDERABAD – MUMBAI,160689.0,HYDERABAD,MUMBAI,False,False,86903.0,73786.0
2015-08-01,CHENNAI – DELHI,167391.0,CHENNAI,DELHI,False,False,86899.0,80492.0
2015-08-01,BENGALURU – HYDERABAD,87064.0,BENGALURU,HYDERABAD,False,False,43192.0,43872.0
2015-08-01,BENGALURU – KOLKATA,73300.0,BENGALURU,KOLKATA,False,False,36160.0,37140.0
2015-08-01,AHMEDABAD – MUMBAI,164310.0,AHMEDABAD,MUMBAI,False,False,84453.0,79857.0
2015-08-01,DELHI – SRINAGAR,112314.0,DELHI,SRINAGAR,False,False,47899.0,64415.0
2015-08-01,BENGALURU – PUNE,100642.0,BENGALURU,PUNE,False,False,49822.0,50820.0
2015-08-01,DELHI – GUWAHATI,61551.0,DELHI,GUWAHATI,False,False,31032.0,30519.0
2015-08-01,DELHI – PATNA,75133.0,DELHI,PATNA,False,False,36871.0,38262.0
